Código,Material de Consumo,Quantidade Disponivel,Imagem
,,,
0001,jumper femea x femea,~950,
0002,jumper macho x femea ,0,
0003,jumper macho x macho ,~165,
0004,Conector jumper maacho preto + anel de cabo vermelho,4,
0005,Fio 2.5mm cabo flexível rolo com 100 metros elétrico (azul / vermelho / verde),3,
0006,Cabo arduino,83,
0007,Cabo Mini USB,5,
0008,Placa perfurada,13,
0009,Placa de fenolite,,
0010,Ponte H L298N,23,
0011,"Arduino mega2560
Usados ; Novos",42,
0012,Arduino uno,6,
0013,Shield esp8266 esp 12e wifi,5,
0014,Modulo relé 8,10,
0015,Modulo relé 4,1,
0016,Módulo relé 1,1,
0017,Modulo relé 2,14,
0018,Display oled,34,
0019,Sensor ultrassônico,58,
0020,Cristal ultrasonico 4MHz,7,
0021,Cristal ultrasonico 10MHz,15,
0022,Cristal ultrasonico 20MHz,11,
0023,Módulo Display LCD 16x2,22,
0024,Sensor de tensão AC 0v 250v,7,
0025,Sensor de corrente 20A acs712,7,
0026,Voltimetro 0 - 100 vdc lcd,1,
0027,Módulo Buzzer low level trigger,17,
0028,Sensor de temperatura ds18b20,16,
0029,Display Sensor de temperatura °C/°F e SET,1,
0030,Relógio de precisão HW-084,11,
0031,Sensor de umidade DMT-11,2,
0032,sensor capacitivo,1,
0033,sensor indutivo,0,
0034,Sensor de Presença e Movimento - PIR,15,
0035,Sensor de umidade DmT-22,2,
0036,Termômetro Higrometro digital,4,
0037,Servo motor tower pro mg995,23,
0038,Stepper motor nema + Cabo,7,
0039,Servo motor sg90 HS 55,3,
0040,Servo  motor MG996R,1,
0041,Servo motor FUTABA S3003,2,
0042,Servo motor HITEC HS-422,1,
0043,Micro motor dc,50,
0044,Módulo adaptador para Arduino Nano,12,
0045,Esp 32,16,
0046,Arduino nano,28,
0047,Ponta de prova do multimetro (estoque),26,
0048,Regulador de tensão step up mt3608,142,
0049,Módulo relé estado sólido 4 canais 5V 2A,10,
0050,Módulo relé estado sólido 8 canais 5V 2A,1,
0051,Shield arduino multifunções,10,
0052,Motor drive modulo L298p,14,
0053,GBK IOT Shield,3,
0054,"Shield Ethernet Arduino W5100
",4,
0055,Drive Monster moto shield,6,
0056,RFID com cartões Tag,1,
0057,Mini Módulo GSM GPRS SIM900A com Antena IOT,5,
0058,Módulo Bluetooth BLE HM-10,9,
0059,Modulo Matriz de Led - 8x8,19,
0060,HW-105 Conversor DC-DC Boost com saída de 5V 600mA,13,
0061,Fonte AC/DC 110-240v/7.5v,5,
0062,Módulo de Joystick de eixo duplo KY-023.,3,
0063,arduino digispark attiny85,4,
0064,Kit Robotica Educacional P30 dimmer,4,
0065,Kit Robotica Educacional Franzininho V2 - Kit DIY com Attiny85 e USB,3,
0066,Kit Robotica Educacional P19 Power PWM,1,
0067,Kit Robotica Educacional P16 Sensor Hall,2,
0068,Kit Robotica Educacional P21 Semáforo,1,
0069,Kit Robotica Educacional P10 - Gbk Modulo Sensor De Temperatura Com Ntc 10k,1,
0070,Kit Robotica Educaciona P11 - Gbk Módulo Display Anodo Comum 1 Digito,1,
0071,Kit Robotica Educacional P7 Módulo Sensor de Luz com LDR + Sequencial de Leds - GBK,4,
0072,Shield V2 Stud Terminal Expansion Board,7,
0073,Controle Remoto Infravermelho ,2,
0074,Módulo Led Rgb Para Arduino - Ky-016,2,
0075,MODULO SENSOR LIGHT CUP ARDUINO,1,
0076,transceptor sem fio para arduino PORTA SERIAL,1,
0077,Módulo Wireless NRF24L01,4,
0078,Módulo Seguidor de Linha - TCRT5000,5,
0079,Indicador Carga Baterías Litio 1s (3.7- 4.2v),3,
0080,Sensor de Umidade E Temperatura Dht11,0,
0081,Sensor de tensão DC 0 a 25v ,10,
0082,Módulo Sensor De Som Sensor De Palmas Microfone - Arduino,3,
0083,Módulo Mp3 Som Micro Sd Wtv020sd Wtv020-sd Robótica,5,
0084,Shield para Arduino - CNC V3,0,
0085,Emissor led infravermelho ,85,
0086,Raspberry pi 1,4,
0087,Raspberry pi 2,1,
0088,Raspberry pi 3,2,
0089,Raspberry pi 4,3,
0090,Câmera Raspberry pi 4,1,
0091,encoder MH-Sensor-Series,16,
0092,Chave Botão 7x7mm com Trava Azul 6 Terminais,9,
0093,conversor DC-DC step up mt308,9,
0094,Modulo RF lora 5x1278,9,
0095,Sensor distância laser VL53LOX,23,
0096,Placa de Extensão T PI GPIO Plus V2.2 para Raspberry Pi,3,
0097,ponte H HW-39,1,
0098,"bateria lipo 11,1v 2200mah",7,
0099,"bateria lipo 22,2v 2200mah",0,
0100,"bateria lipo 7,4v 2200mah",3,
0101,"bateria lipo 7,4v 450mah",3,
0102,bateria lipo 36v 4400mah,2,
0103, kit jetson nano,2,
0104,Módulo Sensor De Corrente - Zmct103c com AmpOp,11,
0105,Módulo Sensor De Corrente - Zmct103c sem AmpOp,6,
0106,motor KV:3215,4,
0107,Motores diversos,14,
0108,protoboards variadas,9,
0109,sensor de temperatura Lm35dz,393,
0110,Sensor de Temperatura Lm35dz SMD,11,
0111,Porta Fusível,61,
0112,plug P4 macho,149,
0113,"fusivel 0,5A",800,
0114, ,920,
0115,plug P4 femea,344,
0116,BBC micro bit,3,
0117,sensor de cor,3,
0118,"Motor MHT-510A-F / 48/24V , 13A",1,
0119,Expansion Board - Arduino UNO,12,
0120,Microswitch Push Button 4 Pinos 5mm,37,
0121,adaptador USB,14,
0122,BT151,25,
0123,Microswitch Push Button 4 Pinos 10mm,17,
0124,multiplexador,2,
0125,Voltimetro DC,11,
0126,Buzzer,65,
0127,fusivel 1A,96,
0128,fusivel 3A,400,
0129,fusivel 5A,98,
0130,fusivel 10A,94,
0131,leitor RFID-RC522,4,
0132,Receptor Infravermelho Metálico 3 Terminais com Suporte 180 graus ,30,
0133,Receptor Infravermelho Metálico 3 Terminais,3,
0134,Receptor Infravermelho 3 Terminais,5,
0135,"Módulo transmissor RF de 433 MHz, modelo FS1000A",3 (2),
0136,modulo transistor,5 (0),
0137,Seguidor de linha infravermelho - Sensor de Refletância Analógico com 8 Sensores Infravermelhos de Linha + 1x40 barra de Pinos macho,16,
0138,Driver Duplo Ponte H de Motor DC ou Passo - DRV8833 - 2 Canais 2A cada,15,
0139,motor bosch f006g20 12v,2,
0140,motor bosch fpg 12v,3,
0141,fonte 9V 1.2A,34,
0142,"fonte 12v
 1 A (necessita adaptador)
500 mA (sem plug)
1000 mA (com plug jack)
2 A (com plug jack)
300 mA (necessita adaptador)",5,
0143,fonte 13V 1000mA,1,
0144,"fonte 7,5V 0.8A (com plug jack)",5,
0145,fonte 6v 2A sem plug jack (necessita adaptador),1,
0146,fonte 5v,1,
0147,STM32 ROS,1,
0148,modulo motor de passo easyDriver ,1,
0149,Cabo Flat,4,
0150,Led vermelho 5 mm difuso,31,
0151,Led vermelho 3 mm difuso,40,
0152,Led vermelho 5 mm alto brilho,5,
0153,Led verde 5 mm difuso,25,
0154,Led verde 5 mm alto brilho,10,
0155,Led verde 3 mm difuso,40,
0156,Led amarelo 5 mm difuso ,44,
0157,Led amarelo 5 mm alto brilho,0,
0158,Led amarelo 3 mm difuso ,39,
0159,Led branco 5 mm alto brilho,38,
0160,Led branco 3 mm alto brilho,40,
0161,Led azul 5 mm difuso,1,
0162,Led azul 5 mm alto brilho,4,
0163,Led azul 3 mm difuso,40,
0164,RGB,8,
0165,"Capacitor Eletrolítico 6,3 V 9uF",1,
0166,Capacitor Eletrolítico 10 V 220uF,2,
0167,Capacitor Eletrolítico 10 V 1000uF,1,
0168,Capacitor Eletrolítico 16 V 22uF,2,
0169,Capacitor Eletrolítico 16 V 100uF,10,
0170,Capacitor Eletrolítico 16 V 220uF,1,
0171,Capacitor Eletrolítico 16 V 1500uF,3,
0172,Capacitor Eletrolítico 16 V 3300uF,1,
0173,Capacitor Eletrolítico 16 V 4700uF,3,
0174,Capacitor Eletrolítico 25 V 10uF,21,
0175,Capacitor Eletrolítico 25 V 22uF,14,
0176,Capacitor Eletrolítico 25 V 47uF,18,
0177,Capacitor Eletrolítico 25 V 470uF,6,
0178,Capacitor Eletrolítico 25 V 1000uF,3,
0179,Capacitor Eletrolítico 25 V 2200uF,16,
0180,Capacitor Eletrolítico 25 V 3300uF,2,
